Comment,Designator,Footprint,JLCPCB Part #
Conn_01x04_Female,I2C-1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,C131334
1k,"R2,R3,R1",R_0603_1608Metric,C21190
Conn_01x06_Female,SPI-1,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,C131342
Conn_01x10_Female,"J2,J1",PinSocket_1x10_P2.54mm_Vertical,C358723 
2.2k,"R6,R5",R_0603_1608Metric,C4190
Conn_01x19_Female,"J6,J5",PinSocket_1x19_P2.54mm_Vertical,C2897382 
AO3400A,T1,SOT-23,C427382
10k,R4,R_0603_1608Metric,C25804
